Diff,Num,Title,Author,Pages,Series/Notes,Cycle,Anticipated Start Date,Completion Date,Rating,Number of Days,Pg/Day
7,99,Major Trends In Jewish Mysticism,Scholem,496,,Philosophy / Theory / Nonfiction,12/08/34,,,41,12
6,100,Pedro Paramo,Rulfo,128,,High Literary / Modernist Core,01/18/35,,,8,15
4,101,Ubik,Pkd,224,,Speculative SF,01/26/35,,,10,21
6,102,The Prague Cemetary,Eco,446,,Weird / Horror / Dark Speculative,02/05/35,,,29,15
6,103,The Essential Kabbalah: The Heart Of Jewish Mysticism,Matt,240,,Philosophy / Theory / Nonfiction,03/06/35,,,16,15
4,104,From Rockaway,Eisenstadt,214,,Contemporary / Realist / Satirical Fiction,03/22/35,,,10,21
7,105,The Crying Of Lot 49,Pynchon,152,,Experimental / Postmodern / Metafiction,04/01/35,,,12,12
0,106,My System,Nimzowitsch,270,6 months,Chess,04/13/35,,,0,33
10,107,Introduction To Mathematical Philosophy,Russell,206,,Philosophy / Theory / Nonfiction,04/13/35,,,68,3
8,108,The Rings Of Saturn,Sebald,296,,High Literary / Modernist Core,06/20/35,,,32,9
7,109,"Physician Of The Soul, Healer Of The Cosmos",Fine,504,,Philosophy / Theory / Nonfiction,07/22/35,,,42,12
2,110,The Things,Watts,30,,Hard SF,09/02/35,,,1,27
3,111,The Ugly One,Mayenburg,80,,Drama / Theatre,09/03/35,,,3,24
0,112,Secrets of Modern Chess Strategy,Watson,272,6 months,Chess,09/06/35,,,0,33
8,113,On The Mystical Shape Of The Godhead,Scholem,336,,Philosophy / Theory / Nonfiction,09/06/35,,,37,9
4,114,The Cipher,Koja,356,,Weird / Horror / Dark Speculative,10/13/35,,,16,21
10,115,Gravity’S Rainbow,Pynchon,760,,Experimental / Postmodern / Metafiction,10/29/35,,,253,3
0,116,"My Great Predecessors, Part I",Kasparov,512,12 months,Chess,07/08/36,,,0,33
9,117,The Melancholy Of Resistance,Krasznahorkai,320,,High Literary / Modernist Core,07/08/36,,,53,6
10,118,The Foundations Of Arithmetic,Frege,119,,Philosophy / Theory / Nonfiction,08/30/36,,,39,3
0,119,I Love You,Bico,0,,,10/08/36,,,1,33
8,120,Les Fleurs Du Mal,Baudelaire,400,,High Literary / Modernist Core,10/09/36,,,44,9
4,121,The Lifecycle Of Software Objects,Chiang,150,,Hard SF,11/22/36,,,7,21
4,122,The Caretaker,Pinter,80,,Drama / Theatre,11/29/36,,,3,21
6,123,The Nag Hammadi Library,Unknown,576,,Philosophy / Theory / Nonfiction,12/02/36,,,38,15
0,124,Pump Up Your Rating,Smith,376,6 months,Chess,01/09/37,,,0,33
7,125,Mrs Dalloway,Woolf,194,,High Literary / Modernist Core,01/09/37,,,16,12
6,126,The Shadow Of The Torturer,Wolfe,304,the book of the new sun series,Speculative SF,01/25/37,,,20,15
6,127,The Claw Of The Concillator,Wolfe,303,,Speculative SF,02/14/37,,,20,15
6,128,The Sword Of The Lichtor,Wolfe,302,,Speculative SF,03/06/37,,,20,15
6,129,The Citadel Of The Autarch,Wolfe,331,,Speculative SF,03/26/37,,,22,15
7,130,The Urth Of The New Sun,Wolfe,372,,Speculative SF,04/17/37,,,31,12
4,131,Mother Night,Vonnegut,282,,Contemporary / Realist / Satirical Fiction,05/18/37,,,13,21
5,132,Canticle For Leibowitz,Miller,336,,Speculative SF,05/31/37,,,18,18
0,133,Positional Decision Making in Chess,Gelfand,288,12 months,Chess,06/18/37,,,0,33
10.33,134,The Principles Of Mathematics,Russell,540,,Philosophy / Theory / Nonfiction,06/18/37,,,268,2.01
0,135,The Life and Games of Mikhail Tal,Tal,496,9 months,Chess,03/13/38,,,0,33
10,136,On Sense And Reference,Frege,21,,Philosophy / Theory / Nonfiction,03/13/38,,,7,3
8,137,Midnight'S Children,Rushdie,672,,Experimental / Postmodern / Metafiction,03/20/38,,,74,9
5,138,Valis,Pkd,272,the valis trilogy,Hard SF,06/02/38,,,15,18
4,139,The Divine Intervention,Pkd,240,,Hard SF,06/17/38,,,11,21
4,140,The Transmigration Of Timothy Archer,Pkd,256,,Hard SF,06/28/38,,,12,21
9,141,Doctor Faustus,Mann,544,,High Literary / Modernist Core,07/10/38,,,90,6
7,142,His Master’S Voice,Lem,199,,Speculative SF,10/08/38,,,16,12
4,143,The Homecoming,Pinter,96,,Drama / Theatre,10/24/38,,,4,21
0,144,Positional Play,Aagaard,312,9 months,Chess,10/28/38,,,0,33
3,145,Burning Chrome,Gibson,204,sprawl series,Speculative SF,10/28/38,,,8,24
3,146,Neuromancer,Gibson,297,,Speculative SF,11/05/38,,,12,24
3,147,Count Zero,Gibson,320,,Speculative SF,11/17/38,,,13,24
3,148,Mona Lisa Overdrive,Gibson,320,,Speculative SF,11/30/38,,,13,24
6,149,Fiasco,Lem,336,,Speculative SF,12/13/38,,,22,15
7,150,One Hundred Years Of Solitude,Marquez,417,,High Literary / Modernist Core,01/04/39,,,34,12
4,151,Keep The Aspidistra Flying,Orwell,286,,Contemporary / Realist / Satirical Fiction,02/07/39,,,13,21
6,152,White Noise,Delillo,310,,Experimental / Postmodern / Metafiction,02/20/39,,,20,15
9,153,Frege: Philosophy Of Language,Dummett,684,,Philosophy / Theory / Nonfiction,03/12/39,,,114,6
0,154,Calculation,Aagaard,304,9 months,Chess,07/04/39,,,0,33
4,155,Dark Integers And Other Stories,Egan,232,,Hard SF,07/04/39,,,11,21
5,156,Hedda Gabbler,Ibsen,106,,Drama / Theatre,07/15/39,,,5,18
8,157,Viriconium,Harrison,462,,Speculative SF,07/20/39,,,51,9
8,158,The Passion According To G.H.,Lispector,184,,High Literary / Modernist Core,09/09/39,,,20,9
4,159,The Left Hand Of Darkness,Le Guin,304,,Speculative SF,09/29/39,,,14,21
8,160,Correction,Bernhard,253,,High Literary / Modernist Core,10/13/39,,,28,9
4,161,Breakfast Of Champions,Vonnegut,302,,Contemporary / Realist / Satirical Fiction,11/10/39,,,14,21
8,162,The Castle,Kafka,352,,High Literary / Modernist Core,11/24/39,,,39,9
7,163,The Trial,Kafka,216,,High Literary / Modernist Core,01/02/40,,,18,12
9,164,"Molloy, Malone Dies, The Unnamable",Beckett,512,This is a Trilogy,High Literary / Modernist Core,01/20/40,,,85,6
0,165,Attack and Defense,Aagaard,304,,Chess,04/14/40,,,0,33
7,166,Brief Interviews With Hideous Men,Wallace,273,,Experimental / Postmodern / Metafiction,04/14/40,,,22,12
10,167,Deductive Logic,Goldfarb,292,,Philosophy / Theory / Nonfiction,05/06/40,,,97,3
10,168,Godel’S Proof,Nagel,113,,Philosophy / Theory / Nonfiction,08/11/40,,,37,3
10.33,169,Tractatus Logico-Philosophicus,Wittgenstein,90,,Philosophy / Theory / Nonfiction,09/17/40,,,44,2.01
0,170,Thinking Inside the Box,Aagaard,408,9 months,Chess,10/31/40,,,0,33
4,171,Instantiation,Egan,300,,Hard SF,10/31/40,,,14,21
8,172,The Tale Of Genji,Shikibu,1216,,High Literary / Modernist Core,11/14/40,,,135,9
5,173,Ghosts,Ibsen,62,,Drama / Theatre,03/29/41,,,3,18
10,174,Bottoms Dream,Schmidt,1536,,High Literary / Modernist Core,04/01/41,,,512,3
0,175,carlsen’s greatest games,Lakdawala,352,9 months,Chess,08/26/42,,,0,33
0,176,Endgame Strategy,Shereshevsky,480,12 months,Chess,08/26/42,,,0,33
8,177,Arno Schmidt’S Zettels’ Traum An Analysis,Langbehn,190,"As of 2026, I have a pdf of this. Searching by ISBN may be helpful.",Philosophy / Theory / Nonfiction,08/26/42,,,21,9
4,178,Parable Of The Sower,Butler,345,earthseed,Speculative SF,09/16/42,,,16,21
4,179,Parable Of The Talents,Butler,390,,Speculative SF,10/02/42,,,18,21
5,180,The Island Of Doctor Death And Other Stories,Wolfe,384,the book of the new sun series,Weird / Horror / Dark Speculative,10/20/42,,,21,18
4,181,The Epic Of Gilgamesh,Unknown,71,,High Literary / Modernist Core,11/10/42,,,3,21
4,182,Universal Harvester,Darnielle,214,,Contemporary / Realist / Satirical Fiction,11/13/42,,,10,21
6,183,The Raw Shark Texts,Hall,426,,Experimental / Postmodern / Metafiction,11/23/42,,,28,15
4,184,Morphotrophic,Egan,386,,Hard SF,12/21/42,,,18,21
5,185,The Dream Play,Strindberg,50,,Drama / Theatre,01/08/43,,,2,18
8,186,King Lear,Shakespeare,338,,Drama / Theatre,01/10/43,,,37,9
